lg_country_code,city_name,zone_name,created_date_local,promised_delivery_time_bucket_min,gross_orders,successful_orders,distance_order_count,surge_multiplier,mean_delay,cvr,healthy_vendor_availability_sessions
no,Oslo,Baerum,2025-07-07,30.0,3,3,3747.0,0.480911681,16.352747331060268,0.1951219512195122,0.63888888888888884
no,Oslo,Baerum,2025-07-07,31.0,25,24,4615.791666666667,0,11.10651282929218,0.27551020408163263,0.90909090909090906
no,Oslo,Baerum,2025-07-07,32.0,40,39,4496.7692307692305,0.080149304,11.706641753015807,0.20618556701030927,0.97701149425287359
no,Oslo,Baerum,2025-07-07,33.0,15,15,3617.3333333333335,0,15.919386055582128,0.18965517241379309,1.0
no,Oslo,Baerum,2025-07-07,34.0,33,32,4758.0,0.069568084,13.79785189485864,0.16793893129770993,0.957983193277311
no,Oslo,Baerum,2025-07-07,35.0,7,7,3780.5714285714284,0,18.522171262177938,0.3,1.0
no,Oslo,Baerum,2025-07-07,36.0,5,5,3392.4,0.322498407,18.03657432512308,0.24,1.0
no,Oslo,Baerum,2025-07-07,37.0,8,8,5166.7142857142853,0,12.727031079453546,0.36363636363636365,1.0
no,Oslo,Baerum,2025-07-07,38.0,11,10,5364.7,0.060846561,18.248199425906094,0.2,0.88461538461538458
no,Oslo,Baerum,2025-07-07,39.0,6,6,5911.833333333333,0,16.203826562137618,0.25,0.8
no,Oslo,Baerum,2025-07-08,,2,2,3574.0,,12.494471545974442,0.0,0.66666666666666663
no,Oslo,Baerum,2025-07-08,11.0,1,1,369.0,0,0.40685042274306582,0.2857142857142857,1.0
no,Oslo,Baerum,2025-07-08,15.0,3,3,1929.0,0,4.7778790977060579,0.33333333333333331,0.90909090909090906
no,Oslo,Baerum,2025-07-08,16.0,1,1,1254.0,0,1.0709573746635781,0.090909090909090912,1.0
no,Oslo,Baerum,2025-07-08,18.0,2,2,2147.0,0,6.38001375921854,0.13953488372093023,0.89189189189189189
no,Oslo,Baerum,2025-07-08,21.0,19,19,2798.0,0,7.2934555983040115,0.22666666666666666,0.921875
no,Oslo,Baerum,2025-07-08,22.0,13,13,3134.1538461538462,0,8.5095922985168926,0.41463414634146339,0.972972972972973
no,Oslo,Baerum,2025-07-08,23.0,3,3,3993.3333333333335,0,8.2872846064604637,0.16129032258064516,0.96666666666666667
no,Oslo,Baerum,2025-07-08,24.0,34,32,2959.6969696969695,0,6.3605562394757138,0.2389937106918239,0.97761194029850751
no,Oslo,Baerum,2025-07-08,25.0,40,39,3913.8,0,7.1067234752921191,0.2032967032967033,0.975
no,Oslo,Baerum,2025-07-08,26.0,17,17,4908.35294117647,0,7.9856560112837833,0.21428571428571427,1.0
no,Oslo,Baerum,2025-07-08,27.0,57,54,4202.2142857142853,0,7.8744667132543471,0.20676691729323307,0.961038961038961
no,Oslo,Baerum,2025-07-08,28.0,31,29,4017.9655172413795,0,10.278002308915612,0.25757575757575757,0.97520661157024791
no,Oslo,Baerum,2025-07-08,29.0,37,36,4633.666666666667,0,10.606237435704493,0.19333333333333333,0.92537313432835822
no,Oslo,Baerum,2025-07-08,30.0,25,24,4755.833333333333,0,8.9247555625641422,0.29333333333333333,1.0
no,Oslo,Baerum,2025-07-08,31.0,21,21,4954.6,0,10.203699990748179,0.14414414414414414,0.95833333333333337
no,Oslo,Baerum,2025-07-08,32.0,8,6,3557.0,0,13.885035096515857,0.20454545454545456,0.78378378378378377
no,Oslo,Baerum,2025-07-08,39.0,2,2,4475.0,0.275299238,17.258533029874005,0.0,0.058823529411764705
no,Oslo,Baerum,2025-07-09,,1,1,2795.0,0,1.4850746547200318,0.14285714285714285,1.0
no,Oslo,Baerum,2025-07-09,12.0,2,2,943.0,0,5.8475218907846571,0.18181818181818182,0.75
no,Oslo,Baerum,2025-07-09,14.0,1,1,278.0,,3.546225426977144,0.071428571428571425,0.91666666666666663
no,Oslo,Baerum,2025-07-09,16.0,1,1,1442.0,0,4.6500276904972688,0.076923076923076927,1.0
no,Oslo,Baerum,2025-07-09,19.0,5,5,2125.6,0,8.5515816802017817,0.25806451612903225,0.93333333333333335
no,Oslo,Baerum,2025-07-09,20.0,2,2,1866.0,0,3.5058676268746094,0.066666666666666666,1.0
no,Oslo,Baerum,2025-07-09,21.0,22,21,2290.3333333333335,0,7.79740274287059,0.15596330275229359,0.98936170212765961
no,Oslo,Baerum,2025-07-09,22.0,6,6,2077.3333333333335,0,8.362584273656271,0.19047619047619047,0.97435897435897434
no,Oslo,Baerum,2025-07-09,23.0,14,13,2312.1538461538462,0,8.220062488734,0.2,0.9642857142857143
no,Oslo,Baerum,2025-07-09,24.0,17,17,2780.8823529411766,0.02582913,10.520764242806381,0.16666666666666666,0.97959183673469385
no,Oslo,Baerum,2025-07-09,25.0,16,16,4930.1333333333332,0,6.59458276370761,0.32203389830508472,0.92156862745098034
no,Oslo,Baerum,2025-07-09,26.0,16,16,4228.5625,0,6.37555499891236,0.26829268292682928,0.9726027397260274
no,Oslo,Baerum,2025-07-09,27.0,52,50,3894.6923076923076,0,8.0024908396651782,0.2072072072072072,0.98039215686274506
no,Oslo,Baerum,2025-07-09,28.0,53,53,4058.9811320754716,0,8.49219574887872,0.24882629107981222,0.95360824742268047
no,Oslo,Baerum,2025-07-09,29.0,52,52,3693.5,0,9.8520365037079412,0.23107569721115537,0.97209302325581393
no,Oslo,Baerum,2025-07-09,30.0,3,3,6229.333333333333,0,11.4375,0.1875,1.0
no,Oslo,Baerum,2025-07-09,31.0,37,37,4121.864864864865,0,10.253415228477429,0.18243243243243243,0.96923076923076923
no,Oslo,Baerum,2025-07-09,32.0,11,11,3545.181818181818,0,13.429026826464424,0.17142857142857143,1.0
no,Oslo,Baerum,2025-07-09,35.0,6,6,4262.666666666667,0,3.9713980227514862,0.16326530612244897,0.97619047619047616
no,Oslo,Baerum,2025-07-09,36.0,1,1,,0,6.7316783407416851,0.33333333333333331,0.875
no,Oslo,Baerum,2025-07-10,,1,0,,,16.943211490878788,0.0,0.38461538461538464
no,Oslo,Baerum,2025-07-10,14.0,1,1,440.0,0,7.4704395191310633,0.23076923076923078,1.0
no,Oslo,Baerum,2025-07-10,15.0,1,1,873.0,0,6.87640668408114,0.22222222222222221,1.0
no,Oslo,Baerum,2025-07-10,16.0,1,1,2121.0,,4.7191957507262616,0.22222222222222221,0.88888888888888884
no,Oslo,Baerum,2025-07-10,18.0,4,4,2672.0,0,6.104116913995445,0.085714285714285715,1.0
no,Oslo,Baerum,2025-07-10,19.0,12,11,2094.181818181818,0,5.3784060834364373,0.17105263157894737,0.95652173913043481
no,Oslo,Baerum,2025-07-10,20.0,10,10,1606.7,0,4.9913498460975338,0.15384615384615385,0.9375
no,Oslo,Baerum,2025-07-10,21.0,3,3,1826.3333333333333,0,7.38455038477843,0.12,1.0
no,Oslo,Baerum,2025-07-10,22.0,22,22,3539.3636363636365,0,6.5232892683650485,0.25,0.98360655737704916
no,Oslo,Baerum,2025-07-10,23.0,19,19,4285.7894736842109,0,0.97297415974012758,0.19402985074626866,0.98333333333333328
no,Oslo,Baerum,2025-07-10,24.0,16,16,3757.5625,0,6.56459475087611,0.17307692307692307,1.0
no,Oslo,Baerum,2025-07-10,25.0,31,31,3819.0322580645161,0,7.9623934262814853,0.18939393939393939,0.9375
no,Oslo,Baerum,2025-07-10,26.0,45,45,3747.2444444444445,0,6.6404229872691509,0.21,0.96791443850267378
no,Oslo,Baerum,2025-07-10,27.0,16,16,3592.4375,0,4.3289282180013444,0.15384615384615385,0.98717948717948723
no,Oslo,Baerum,2025-07-10,28.0,32,32,4239.8125,0,7.4755730459009762,0.291970802919708,0.99193548387096775
no,Oslo,Baerum,2025-07-10,29.0,32,32,3827.5,0,5.7899913763175164,0.29411764705882354,0.9438202247191011
no,Oslo,Baerum,2025-07-10,30.0,14,14,3590.9285714285716,0,9.2016570540320384,0.265625,0.8771929824561403
no,Oslo,Baerum,2025-07-10,31.0,13,13,4542.5384615384619,0,10.927558000108457,0.21739130434782608,0.96551724137931039
no,Oslo,Baerum,2025-07-10,32.0,6,6,5365.0,0,9.7503585132710384,0.41666666666666669,1.0
no,Oslo,Baerum,2025-07-10,33.0,16,15,4649.0714285714284,0,11.28657245456678,0.22352941176470589,0.97435897435897434
no,Oslo,Baerum,2025-07-10,34.0,4,4,6621.25,0,11.637338421907431,0.24,0.86956521739130432
no,Oslo,Baerum,2025-07-10,41.0,5,3,5693.666666666667,0.302631579,19.189198135451242,0.10526315789473684,0.2857142857142857
no,Oslo,Baerum,2025-07-11,,1,1,3773.0,,0.0,0.2,0.8
no,Oslo,Baerum,2025-07-11,15.0,1,1,400.0,,11.024487330097894,0.125,1.0
no,Oslo,Baerum,2025-07-11,16.0,1,1,1959.0,0,2.5796288718925462,0.047619047619047616,1.0
no,Oslo,Baerum,2025-07-11,18.0,2,2,1463.0,0,6.4833190632452835,0.083333333333333329,0.94736842105263153
no,Oslo,Baerum,2025-07-11,19.0,1,1,2423.0,,7.0005782536582162,0.1111111111111111,0.88888888888888884
no,Oslo,Baerum,2025-07-11,20.0,6,6,1190.1666666666667,0,7.6713073705899717,0.28,1.0
no,Oslo,Baerum,2025-07-11,21.0,12,11,1637.4166666666667,0,5.8109363113549612,0.15942028985507245,0.96491228070175439
no,Oslo,Baerum,2025-07-11,22.0,11,11,2612.3636363636365,0,6.8480229012770728,0.20289855072463769,0.98245614035087714
no,Oslo,Baerum,2025-07-11,23.0,21,21,3703.4761904761904,0,3.0742444004830354,0.23584905660377359,0.979381443298969
no,Oslo,Baerum,2025-07-11,24.0,9,9,3013.8888888888887,0,7.3675034888465056,0.2073170731707317,0.85135135135135132
no,Oslo,Baerum,2025-07-11,25.0,67,66,3697.9850746268658,0,7.55073803452844,0.23943661971830985,0.92913385826771655
no,Oslo,Baerum,2025-07-11,26.0,53,50,4259.14,0,6.870744448267093,0.20779220779220781,0.937799043062201
no,Oslo,Baerum,2025-07-11,27.0,38,38,5301.4473684210525,0,6.053546615001582,0.2413793103448276,0.97902097902097907
